,Group,Year,EC votes,Votes counted,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
0,Border,1828,28.0,128226,11.17,29.15,4580.0,0.96,3,"KY,MD,MO"
1,Confederate,1828,72.0,192857,16.8,43.84,2679.0,1.64,7,"AL,GA,LA,MS,NC,TN,VA"
2,Midwest,1828,24.0,184481,16.07,41.94,7687.0,0.57,3,"IL,IN,OH"
3,Northeast,1828,123.0,642454,55.96,146.05,5223.0,0.84,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
4,West,1828,0.0,0,0.0,0.0,0.0,0.0,0,
5,Border,1832,32.0,131635,10.31,29.69,4114.0,1.08,4,"DE,KY,MD,MO"
6,Confederate,1832,80.0,152034,11.91,34.3,1900.0,2.33,7,"AL,GA,LA,MS,NC,TN,VA"
7,Midwest,1832,35.0,226798,17.76,51.16,6480.0,0.68,3,"IL,IN,OH"
8,Northeast,1832,130.0,773253,60.57,174.43,5948.0,0.75,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
9,West,1832,0.0,0,0.0,0.0,0.0,0.0,0,
10,Border,1836,32.0,145436,9.68,28.45,4545.0,1.12,4,"DE,KY,MD,MO"
11,Confederate,1836,83.0,282068,18.77,55.18,3398.0,1.5,8,"AL,AR,GA,LA,MS,NC,TN,VA"
12,Midwest,1836,38.0,322348,21.45,63.06,8483.0,0.6,4,"IL,IN,MI,OH"
13,Northeast,1836,130.0,752914,50.1,147.28,5792.0,0.88,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
14,West,1836,0.0,0,0.0,0.0,0.0,0.0,0,
15,Border,1840,32.0,217159,9.0,26.46,6786.0,1.21,4,"DE,KY,MD,MO"
16,Confederate,1840,83.0,477383,19.79,58.17,5752.0,1.43,8,"AL,AR,GA,LA,MS,NC,TN,VA"
17,Midwest,1840,38.0,528273,21.9,64.38,13902.0,0.59,4,"IL,IN,MI,OH"
18,Northeast,1840,130.0,1189879,49.32,145.0,9153.0,0.9,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
19,West,1840,0.0,0,0.0,0.0,0.0,0.0,0,
20,Border,1844,30.0,270324,10.0,27.49,9011.0,1.09,4,"DE,KY,MD,MO"
21,Confederate,1844,75.0,534686,19.77,54.38,7129.0,1.38,8,"AL,AR,GA,LA,MS,NC,TN,VA"
22,Midwest,1844,49.0,617186,22.83,62.77,12596.0,0.78,4,"IL,IN,MI,OH"
23,Northeast,1844,112.0,1285296,47.54,130.73,11476.0,0.86,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
